done	part of speech	phonemes	romanisation	definition	keywords	tags	gloss
TRUE	verb (intransitive)	sy.ɾẽ	suré	be horny, experience libido	horny, libido		
TRUE	pronoun	syː	suu	they, the other ones, three or more beings contrasted with the one(s) in focus, 3P.OBV.AN, third-person obviative animate plural	they, them		
TRUE	adjective	swãːʎ.ɬẽw	swáallhléu	complex, complicated, intricate, involved, with many components 	complex, complicated, intricate, involved		
TRUE	verb (transitive)	swa.ndi	swandi	research, study, investigate	research, develop	science	
TRUE	verb (transitive)	swa.ɾi	swari	{agent} nourish {experiencer}, be healthy to (especially in the sense of being energy-dense enough to support the brain); fertilise; {experiencer} be well, be safe, have a stable life	nourish, healthy, fertilise, well, safe, stable		
TRUE	adverb	sweː	swee	in turn, in return, for one's own part, in exchange	turn, return, in turn, in return, exchange, in exchange, part		
TRUE	noun (inanimate)	swi	swi	thing, entity, object (including lifeforms), that which exists	thing, entity, object		
TRUE	noun (inanimate)	sə	sy	eye, any organ that detects variations of light across a cone, camera; prototype: Nomai lower eye	eye, lower eye, camera, sensor		eye
TRUE	verb (intransitive)	sə.cãː	sycáa	be hoped for, be desirable even if unlikely; {observer} sycáa {experiencer} = {observer} hopes for {experiencer}, {observer} wants and prepares to interact with {experiencer}	hope, be hoped, hope for, desirable, want		
TRUE	adjective	sə̃.dəɬ	sýdyhl	short, stubby, squished-shape, low-aspect-ratio	short, stubby, squished, aspect		
TRUE	noun (inanimate)	səɸ.pẽː	syfpée	saw, garden multitool (in Vessel times, usually with an elliptical ceramic blade that can both spin and vibrate)	saw, cutter		
TRUE	noun (inanimate)	sə.na.ɾøj	synaroi	location, position (as transient property of an object), that which is represented by coordinates	location, position, coordinates		
TRUE	noun (animate)	sə.neɬ	synehl	family, house-sized social unit	family		
TRUE	noun (inanimate)	sə̃ːɕ	sýyx	(piece of) poop, crap; bodily wastes in general (casual or vulgar word)	poop, crap, shit		
TRUE	particle	ta	ta	before a clause, marks it as conditional mood (counterfactual as in both halves of "if I was a star, I would explode")	conditional, counterfactual, if, would		
TRUE	verb (transitive)	taːj.taːj	taaitaai	hyperfocus on, pay sole attention to, be engrossed with	hyperfocus, attention, engrossed		
TRUE	noun (inanimate)	tãː.ʙẽj	táavéi	milk (from a mammal, note: Nomai adults cannot digest milk)	milk		
TRUE	verb (intransitive)	tãː.ʙø̃	táavó	gesture, pose, move the body meaningfully	gesture, pose, move		
TRUE	verb (intransitive)	tã.cə̃	tácý	march, stride, stomp, move intensely on foot	march, stride, stomp		
TRUE	noun (inanimate)	ta.diːw	tadiiu	a type of leafy groundcover, resembling a fern; (name) Filix	filix	names, plants	
TRUE	verb (intransitive)	ta.dø	tado	wilt, wither, dry out, crumple up; die; (of information) become unverifiable, become the sole known source on a topic	wilt, wither, dry, crumple		
TRUE	verb (transitive)	ta.ɸẽ	tafé	{agent} meditate/reflect on {experiencer}, {agent} worship {experiencer}	meditate, reflect, worship		
TRUE	verb (transitive)	taɸ.ɾãː	tafráa	accept (as existing or as its own phenomenon), believe in, take as truth, take into account, use as part of one's best explanations	accept, believe, believe in, take as truth, account, account for, take into account		
TRUE	adjective	taɬ	tahl	bountiful, fertile, rich in vegetation; (of number) high, great	bountiful, fertile, rich, vegetation, high, great		
TRUE	verb (transitive)	tã.hy	táhu	call to, summon, invite	call, summon, invite		
TRUE	noun (inanimate)	taj.li	taili	direction, heading; pitch (of screw or threaded shape); (archaic) loop-count, thickness, width (when weaving a cord around an object or through a hole)	direction, heading; pitch, thickness, width		
TRUE	noun (inanimate)	tãl	tál	neck (front and back)	neck		
TRUE	noun (inanimate)	ta.lə̃ɬ	talýhl	a type of shrub with light-coloured flowers and dark berries; (name) Privet	privet	names, plants	
TRUE	noun (inanimate)	ta.nas	tanas	interior wall, space-divider, (especially) writable interactive wall	wall, divider, scroll wall, text wall, spiral wall, board, blackboard, whiteboard		
TRUE	noun (inanimate)	ta.piɬ	tapihl	tuber, bulb, any (chiefly edible) plant of a category vaguely analogous to Earth potatoes, tomatoes and eggplants; (name) Solanum	solanum	names, plants	solanum
TRUE	noun (inanimate)	tã.pə̃ɸ	tápýf	noise, chaotic signal, random component	noise, chaos, chaotic, random, randomness		
TRUE	verb (transitive)	tãs.mei	tásmei	{experiencer} rest, take a break; {agent} support {experiencer} during rest	rest, break		
TRUE	numeral	tã.wã.mø	táwámo	one 216th part (6^-3)	216th, 6^-3		
TRUE	noun (inanimate)	te	te	the phoneme /t/ and the matching letter	/t/, t	letters	
TRUE	noun (inanimate)	tẽ.cẽː	técée	bed, bunk, Nomai sleeping rack	bed, bunk, rack		
TRUE	noun (inanimate)	te.cy	tecu	a type of tree-climbing vine with intense patterned flowers; (name) Clem	clem	names, plants	
TRUE	numeral	teː	tee	1296 (6^4, connective form)	1296		
TRUE	verb (transitive)	tẽːɬ	téehl	(agent) be related to (experiencer), be linked to, connect with, have to do with; (experiencer) be relevant, be notable, be significant, be consequential	relate, related, link, linked, connect, connected, relevant, notable, significant, consequential		
TRUE	noun (inanimate)	tẽːʎ.wi	téellwi	a specific game with simple rules, played on a binary grid, similar to Go combined with a cellular automaton	game, tabletop, board game, boardgame, Go		
TRUE	noun (inanimate)	tẽːw	téeu	cob, ear (of grain), arrangement of spheres around a cylinder (especially spiraling); grain, crop, type of grass bred for nutritious seeds	grain, crop, cob, ear		
TRUE	verb (transitive)	teːɕ	teex	harvest (by picking loose parts like fruit and berries); get benefit from	harvest, pick, benefit		
TRUE	noun (inanimate)	tẽɸ.ɲa	téfnna	plate, coaster, tray, platter, flat food-safe item	plate, coaster, tray, platter		
TRUE	numeral	teɬ	tehl	1296 (6^4)	1296, 6^4		
TRUE	adjective	teɬ.seɾ	tehlser	clean, hygienic; pure, concentrated (chemical); bare, plain, unadorned	clean, hygienic, pure, concentrated, bare, plain, unadorned		
TRUE	noun (animate)	tej.faː	teifaa	pet, familiar, mobile non-Nomai creature kept on a vessel	pet, familiar, creature		
TRUE	noun (inanimate)	te.la	tela	flesh, meat (of animal or Nomai)	flesh, meat		
TRUE	adjective	te.lis	telis	(person) stable, wise, self-regulated; (tool) advanced, smart, adaptive, responsive	stable, wise, self-regulated, advanced, smart, adaptive, responsive		
TRUE	adverb	te.løs	telos	horizontally, level, in a flat direction	horizontal, horizontally, level, flat	spatial	
TRUE	verb (transitive)	te.‍ɲa	te‍nna	attract, entice, lure	attract, entice, lure		
TRUE	adjective	teɾ	ter	black, a dark desaturated colour-term	black, dark, desaturated		
TRUE	noun (inanimate)	tẽ.tɬə	tétly	a type of hardy woody shrub with an edible starch-rich root; (name) Cassava	cassava	names, plants	
TRUE	adjective	tew	teu	whole, tidy, in one piece, in good integrity, holding up well	whole, tidy, intact, integrity		
TRUE	verb (transitive)	tew.ʙəɾ.miː	teuvyrmii	ferment, pickle, age	ferment, pickle, age		
TRUE	verb (transitive)	te.weʎ	tewell	pull, stretch, hold under tension	pull, stretch, tension		
TRUE	verb (transitive)	te.ɕə	texy	value, cherish, consider precious, be fond of	value, cherish, precious		
TRUE	verb (transitive)	tiɬ	tihl	drink, suck (prototype: mammal from spring, or root from rain)	drink, suck		
TRUE	noun (inanimate)	tiː.de	tiide	trace, print, remnant, clue	trace, print, remnant, clue		
TRUE	noun (inanimate)	tiːl	tiil	pen, wand, pointer, handheld tool for sketching and gesturing	pen, wand, pointer	tools, objects	
TRUE	noun (animate)	ti.‍ɲci	ti‍nci	great-granddaughter (not via female line)	great-granddaughter, great granddaughter, granddaughter	family	
TRUE	noun (animate)	tɬaːj	tlaai	great-granddaughter (via female line)	great-granddaughter, great granddaughter, granddaughter		
TRUE	verb (transitive)	tɬaɾ	tlar	break, crush, destroy	break, crush, destroy		break
TRUE	adjective	tɬẽːɾ.da	tléerda	(of sentient or mechanical entity) stuck, looping, blinded, unable to integrate new sensory input; strong expletive	stuck, looping, blinded		
TRUE	verb (transitive)	tɬe.ɸəj	tlefyi	scare, make or keep afraid, {experiencer} fear {agent}	scare, fear, afraid		
TRUE	verb (transitive)	tɬew	tleu	{experiencer} die; {experiencer} die of {agent}; {agent} kill {experiencer}	die, kill		
TRUE	pronoun	tɬi.ɾy	tliru	that (thing, being, or situation close to or mentioned by listener)	that		
TRUE	adjective	tɬi.wiː	tliwii	static, motionless; poor, pitiable, eliciting sympathy	static, motionless, poor, pitiable		
TRUE	conjunction (phrase)	tɬø	tlo	or (exclusive, accepting one option of many)	or, xor		
TRUE	determiner	tɬy	tlu	determiner deictic, near listener	that		
TRUE	noun (inanimate)	tɬə	tly	face, front and top of the head (including ears and antlers), body part where individuals are most recognisable	face, front	body	
TRUE	adjective	tø.de	tode	white, a bright desaturated colour-term	white, bright, desaturated	colours	
TRUE	noun (inanimate)	tøʎ	toll	pot, vase, planter; (endearingly) cot, child's bed	pot, vase, planter, cot, bed	objects	
TRUE	noun (inanimate)	tø.ʎẽ	tollé	left side, left flank	left, side, flank	spatial	
TRUE	noun (animate)	tø̃.ɲã	tónná	game, pastime (originally structured conversation, now also story-driven interactive entertainment)	game, pastime		
TRUE	verb (transitive)	tø.ɲãː	tonnáa	notice, spot, detect, perceive, sense	notice, spot, detect, perceive, sense		
TRUE	noun (animate)	tø.ɲa.sø	tonnaso	guard, lookout, security specialist; attendant, supervisor (to an experiment, calculation, etc)	guard, lookout, security, attendant, supervisor		
TRUE	noun (inanimate)	tøː.ɾaː.hø̃ː	tooraahóo	synthetic unstable radioactive element	synthetic, unstable, radioactive, element	materials	
TRUE	noun (inanimate)	tø̃ː.tãː	tóotáa	heated solidified plant oils, roughly analogous to brittle types of plastic and thin glass	plastic, glass	materials	
TRUE	adjective	tø̃.py	tópu	orange, yellow, greenish yellow (colour detected by a Nomai lower eye's second cone cell)	yellow, green	colours	
TRUE	noun (animate)	tø.ɾej	torei	personality, nature, essence	personality, nature, essence		
TRUE	noun (inanimate)	tø̃s	tós	button, key, interactive element that activates on touch and deactivates on release	button, key, switch		
TRUE	verb (intransitive)	tɾãːʎ	tráall	be straight, be linear, be extended; stand tall (so as to look far)	straight, linear, extended, stand, tall		
TRUE	noun (inanimate)	tɾãː.mø̃	tráamó	type of flower that opens in the evening, highly toxic, sometimes used psychoactively; (name) Datura	datura	names, plants	
TRUE	adjective	tɾeːw	treeu	curious, intriguing, which might hint at something learnable	curious, intriguing, fascinating	science	
TRUE	particle	tɾi	tri	before a clause, introduces it as a direct quote complement to a verb of belief or communication, like the colon in "Solanum thought: How curious!"	untranslatable, quote		
TRUE	noun (animate)	tɾiw	triu	daughter, female offspring; offspring in general; sequel, successor	daughter, offspring, sequel, successor	family	
TRUE	noun (inanimate)	tɾy	tru	rest, remainder, other part; (archaic) audience, reviewers	rest, remainder, other, remaining, audience, reviewer, reviewers		
TRUE	numeral	tsaː	tsaa	six (6^1, connective form)	six		
TRUE	adjective	tsaɬ	tsahl	compact, blocky; shaped like an ingot, bar, or squished cylinder (common form to store materials); unused, in reserve, in waiting	compact, blocky, ingot, bar, unused, reserve, raw		
TRUE	noun (inanimate)	tsaj.ce	tsaice	fallacy, misapplication of logic; (strong expletive) fuck, shit	fallacy, fuck, shit	science	
TRUE	verb (intransitive)	tsajɬ	tsaihl	cry, weep, wail	cry, weep, wail	social	
TRUE	numeral	tsaw.lə	tsauly	six (6^1)	six, 6		
TRUE	verb (transitive)	tseːl	tseel	continue, keep doing, go on	continue, keep		
TRUE	verb (transitive)	tseɬ	tsehl	harvest (by cutting, crushing, or biting)	harvest, cut	farming	
TRUE	interjection	tsi	tsi	(onomatopoeia) sudden, chaotic, high-pitched sound: click, tick	click, tick		
TRUE	interjection	tsiɸ	tsif	no, that's false (someone asked a closed question in the positive and I deny the statement)	no		
TRUE	noun (inanimate)	tsiː.tsyː	tsiitsuu	(archaic) seesaw, scales, balance beam; (modern) equation, formula, math expression	equation, formula, math, mathematics, expression	science	
TRUE	adjective	tsøl	tsol	bad, shoddy, ill-suited, unfinished, poor	bad, shoddy, ill-suited, unfinished, poor		
TRUE	verb (transitive)	tsøː	tsoo	launch, shoot, deploy (what gravity cannons do to shuttles and what vessels do to escape pods); (of a plant) shed, spread (seeds or pollen, without dying)	launch, shoot, deploy, shed, spread	technology	
TRUE	noun (inanimate)	tsøː.tɬə	tsootly	(archaic) spreading, spilling; (modern) causality, temporal asymmetry, the arrow of time	causality, asymmetry, time	science	
TRUE	noun (inanimate)	tsy.ci	tsuci	mechanic, dynamic (in space or analogous volume), dynamics rule, type of interaction, (nonspecific form) physics, mechanics	mechanic, dynamic, physics, mechanics, interaction, rule	science	
TRUE	adjective	tsy.dø	tsudo	next, subsequent, following	next, subsequent, following		
TRUE	adverb	tsyj.ɬə	tsuihly	irreversibly, permanently, forever	irreversibly, permanently, forever		
TRUE	noun (inanimate)	tsy.nde	tsunde	apoapsis, most distant point of an orbit; lull, stagnation, calm period; (archaic) peak, highest point; success, prosperity, competitiveness	apoapsis, distant, farthest, furthest, lull, stagnation, calm	science	
TRUE	verb (transitive)	tsyː	tsuu	{agent} consist of, be made of {experiencer}, {experiencer} be component/material of {agent}; (without agent) matter, belong, be depended on	consist, made, matter, belong, depend		
TRUE	noun (inanimate)	ty.ty	tutu	bubble, droplet (mobile region of one substance surrounded by another)	bubble, droplet		
TRUE	verb (transitive)	twã	twá	{agent} gain social right to use or control {experiencer}, convince others to give, persuade someone for, trade favours with someone to obtain; (alien studies) buy	convince, persuade, gain, right	social	
TRUE	noun (inanimate)	twã.ɸi	twáfi	(art of) persuasion, (practice of) argument; politics	persuasion, argument, politics	social	
TRUE	adjective	twẽ.nã	twéná	idle, directionless, without a project or topic of interest (has the connotations of "lonely" or "purposeless")	idle, directionless, project, interest, lonely, purposeless		
TRUE	verb (transitive)	twiː	twii	{agent} be {experiencer}, form, constitute, be classified as, act as, function as (used to form predicates out of noun phrases when grammar requires a verb)	be, constitute, act, classify, form		
TRUE	noun (animate)	twə	twy	son (male offspring); (archaic, obsolete) side effect, co-occurrence, that which can be assumed	son	family	
TRUE	noun (inanimate)	tə.ciː	tycii	a type of long-lived grassy plant with strong-tasting aromatic leaves; (name) Mint	mint	names, plants	
TRUE	adjective	təɬ	tyhl	sharp, edged, cutting; painful; risky	sharp, edged, cutting, painful, risky		
TRUE	noun (animate)	tə.ɬi.ʙe	tyhlive	ancestor	ancestor	family	
TRUE	adverb	təjf	tyif	partway, partially, to less than full extent	partway, partially, partly		
TRUE	verb (transitive)	təs.jaːj	tysjaai	remove, delete, take away, subtract	remove, delete, away, subtract		
TRUE	verb (transitive)	tə̃.ʙəl	tývyl	please, delight, make enjoy, be liked by (experiencer enjoys and agent causes it)	please, delight, enjoy, like	sensations	
TRUE	verb (transitive)	tə̃ː	týy	bonk, knock on someone's skull (as in-group banter or a soft reset to intrusive thoughts)	bonk, knock	social	
TRUE	verb (transitive)	təːl	tyyl	touch, remain in physical contact with, have no gap between; bump, connect	touch, contact, bump, connect		
TRUE	noun (inanimate)	tə̃ː.wiʎ	týywill	oven, furnace, enclosed heatable box (originally for pottery, now diverse)	oven, furnace	technology	
TRUE	noun (inanimate)	y.bɾi	ubri	time(slot), period within a structured schedule, allotted share of time	time, period, slot		
TRUE	verb (intransitive)	y.ɸẽɾ	ufér	dance; mime, enact, perform a sequence of bodily actions for an observer	dance, mime, enact	art	
TRUE	noun (inanimate)	y.ɸẽɾ.cãwɾ	ufércáur	stage, theatre, place for performing (originally dances, now any spectated art)	stage, theatre, theater	art	
TRUE	interjection	yj	ui	used to call for attention: hey, ahoy; ambiguous filler: oh	hey, ahoy, oh		
TRUE	noun (inanimate)	yl	ul	the phoneme /y/ and the matching letter	/y/, y	letters	
TRUE	verb (transitive)	yl.søː	ulsoo	skim, skirt, barely touch on the way somewhere; get a gravity slingshot from	skim, skirt, touch, slingshot	spatial	
TRUE	noun (animate)	y.mbø	umbo	Festival (universal gathering of Nomai)	Festival	social	
TRUE	verb (impersonal)	y.‍mbə	u‍mby	it be quiet, things go slow, things be inactive	quiet, slow, inactive		
TRUE	verb (transitive)	y.mi	umi	{agent} translate content of {observer} from {ablative} into {experiencer}, convert, express same meaning in different notation or language or filetype; {agent} swap things so that {observer} contains {experiencer} where previously it contained {ablative}; (archaic) {agent} rotate crops so that {observer} grows {experiencer} instead of growing {ablative}	translate, switch, swap, rotate, crop, crops		
TRUE	noun (inanimate)	y.nøː	unoo	space behind (defined by the shape of the thing itself), wake, heels, trail blazed by someone	back, behind, wake, heels, trail	spatial	
FALSE	verb (transitive)	y.pis	upis	DEPRECATED, used to mean "not wear"			
TRUE	numeral	yː	uu	thirthy-six (6^2, connective form)	36	numbers	
TRUE	noun (inanimate)	yːl.nil	uulnil	marshmallow (Hearthian loanword courtesy of Transiencerealized on AO3)	marshmallow, mallow	food	
TRUE	noun (inanimate)	yː.məɕ	uumyx	stick, rod, pole, dowel, any cylindrical rigid object	stick, rod, pole, dowel, cylinder	objects	
TRUE	numeral	yːɾ	uur	thirthy-six (6^2)	thirthy-six, 36, 6^2	numbers	
TRUE	adverb	yː.ɾiː	uurii	barely, almost not, very slightly, to a tiny degree	barely, almost, tiny, slightly		
TRUE	adjective	yː.ɾə	uury	cyan, bluish green (colour detected by a Nomai lower eye's fourth cone cell)	cyan, blue, green	colours	
TRUE	noun (inanimate)	yːs	uus	the phoneme /yː/ and the matching letter	/yː/, yy	letters	
TRUE	verb (intransitive)	yːx	uux	meet, visit, go see, come together	meet, visit, see, together	social	
TRUE	noun (inanimate)	y.wi.ncy	uwincu	copper (element)	copper		
TRUE	interjection	ʙaː	vaa	used as exclamation of sudden idea, stroke of clarity: aha! eureka! got it! behold!	aha, eureka, got it, behold		aha
TRUE	interjection	ʙãːw	váau	(onomatopoeia) sustained, periodic, low-pitched sound: drone, buzz, growl	drone, buzz, growl		
TRUE	verb (transitive)	ʙa.ɸas	vafas	bite, chew (for the first time); react on the shallow level to, get first impression of 	bite, chew, impression	body	
TRUE	noun (inanimate)	ʙa.həw	vahyu	house, residential complex, building	house, residence, residential, building		
TRUE	noun (inanimate)	ʙajɸ	vaif	circle, loop, hoop, ring (shape)	circle, loop, hoop, ring		
TRUE	verb (transitive)	ʙaʎ.cã	vallcá	(of plant) prune, cut, stress-test; (of idea) attack, criticise, judge	prune, cut, stress, test, attack, criticise, judge		
TRUE	noun (inanimate)	ʙã.lə.ləj	válylyi	plane (mathematical construct), facet (of jewel or similar); side, angle, view (towards an object)	plane, face, facet, side, angle, view		
TRUE	adjective	ʙã.nãɕ	vánáx	bitter (one of five basic tastes)	bitter		
TRUE	noun (inanimate)	ʙa.ɲa	vanna	time(stamp), moment, instant, "frame" of the universe's progression	time, timestamp, moment, instant, frame		
TRUE	verb (transitive)	ʙa.ɲø̃	vannó	catch, capture, grapple	catch, capture, grapple		
TRUE	noun (inanimate)	ʙã.ɾə̃	várý	shape, form, configuration, geometry (note: not type as in "this form of life" - always spatial in some sense)	shape, form, configuration, geometry		
TRUE	noun (inanimate)	ʙaw.daː	vaudaa	rope, wire, cable, cord, anything linear made of combined fibres	rope, wire, cable, fibre, cord		
TRUE	noun (inanimate)	ʙã.ʙãɸ	váváf	portable food in baked shell, analogous to sandwich or wrap	sandwich, wrap		
TRUE	noun (animate)	ʙa.ʙə̃ː	vavýy	family member, relative, kin	family, family member, relative, kin		
TRUE	pronoun	ʙẽ	vé	it, that one (only occurs in relative clauses with an inanimate head-noun, refers back to the head, doesn't mark for specificity or number)	it, that, untranslatable		
TRUE	adjective	ʙẽ.cel	vécel	fluid, liquid (in phase)	fluid, liquid	materials	
TRUE	adjective	ʙeː	vee	sharp, clear, distinct, high-contrast, focused; well understood; lovely, nice, great	sharp, clear, distinct, high-contrast, contrast, focused, focus, lovely, nice, great		
TRUE	noun (animate)	ʙeː.mə̃	veemý	first author in a conversation, initial speaker, initiator, OP	author, speaker, sender, initiator, OP	social	
TRUE	adverb	ʙeːɕ	veex	kindly, considerately; (in ought-clauses) please	kindly, considerately, please	social	
TRUE	noun (inanimate)	ʙẽj	véi	iteration, one pass in a loop; estimate, guess to improve on, starting point for a refining process	iteration, estimate, guess, start		
TRUE	verb (transitive)	ʙej.laːw	veilaau	awe, captivate, be marvellous to	awe, captivate, captivating, marvel, marvellous		
TRUE	verb (transitive)	ʙe.lã	velá	collide into, crash into	collide, crash, hit		
TRUE	noun (inanimate)	ʙeʎ	vell	salt lick, chunk of mineral rolled onto a pasture as a nutrition supplement for a grazing herd; (colloquial) dispenser, drink fountain, vending machine	salt lick, salt, mineral chunk, mineral, dispenser, fountain, vending machine		
TRUE	verb (intransitive)	ʙẽʎ	véll	travel, journey; fly, go by atmospheric or spatial flight	travel, journey, fly, go, flight		
TRUE	noun (inanimate)	ʙẽ.ʎiw	vélliu	group, clump, cluster (of inanimate things, united by location)	group, clump, cluster		
TRUE	noun (inanimate)	ʙeʎ.pɾə	Vellpry	(place name) Attlerock (compound of vell 'mineral-rich stone' + pry 'scar') 	Attlerock	placenames	
TRUE	noun (inanimate)	ʙẽ.lø̃	véló	food made by chopping and stacking, analogous to tapas or sushi	tapas, sushi	body	
TRUE	noun (inanimate)	ʙe.nə̃.lãw	venýláu	window-hole	window, hole		
TRUE	verb (transitive)	ʙẽ.səː	vésyy	oxygenate, insulate and heat: make habitable; activate a vehicle; terraform	oxygenate, insulate, heat, habitable, activate, terraform	technology	
TRUE	adjective	ʙew.ɲe	veunne	goopy, viscous, mudlike; molten	goopy, viscous, mudlike, molten		
TRUE	noun (inanimate)	ʙẽɕ.lə̃l	véxlýl	ceiling (potentially same as roof, but at least applies to perspective from inside)	ceiling		
TRUE	noun (inanimate)	ʙeɕ.teːɾ	vexteer	nectar, any sugary plant-derived compound, syrup, sugar, sweetener	nectar, syrup, sugar, sweetener	food	
TRUE	verb (transitive)	ʙi.daːjs	vidaais	debate, have an assembly about, converse formally about (absolutive is topic)	debate, assembly, assemble, converse, discuss		
TRUE	noun (inanimate)	ʙiː	vii	the phoneme /ʙ/ and the matching letter	/ʙ/, v	letters	
TRUE	verb (transitive)	ʙiːl	viil	start, begin (event or action), enshrine (rule), put into effect	start, begin, enshrine		
TRUE	noun (inanimate)	ʙiːs	viis	niche, nook, small hangout spot (alcove in library, etc)	niche, nook, hangout, spot, alcove		
TRUE	interjection	ʙi.jə	vijy	okay, yeah, fine; roger (someone said something and I heard clearly; usually the start of a longer message, used alone on noisy channels or under a time crunch)	okay, yeah, fine, roger		
TRUE	adjective	ʙis	vis	medium-fluffy, average wooly/bald	fluffy, fuzzy, wooly, cropped, shaven, bald		
TRUE	noun (inanimate)	ʙi.tɬø.ʙø	vitlovo	sulphur (element)	sulphur, sulfur		
TRUE	noun (inanimate)	ʙi.wiː.hyɸ	viwiihuf	patty, nugget, food item fused from ground ingredients using a binder	patty, nugget	food	
TRUE	adverb	ʙi.ɕøs	vixos	sometimes, on occasion, neither especially commonly nor rarely	sometimes, occasion, occasionally		
TRUE	noun (inanimate)	ʙø.ɸi.ɲy	vofinnu	a type of small shrub from cold climates with sweet berries; (name) Idaea	idaea	names, plants	
TRUE	noun (inanimate)	ʙøɸ.lø̃	vofló	(archaic) migration path that doesn't cross mountains; (modern) lazy solution, non-generalising solution; technical debt	migration, path, route, lazy, technical debt, debt		
TRUE	noun (inanimate)	ʙø̃.ɸyl	vóful	hill, mountain, upland, rock (feature of terrain)	hill, mountain, upland, rock		
TRUE	noun (inanimate)	ʙøj	voi	tip, point, end (of a tool or limb), start (of a recording)	tip, point, end, beginning, start		
TRUE	noun (animate)	ʙø̃j	vói	grandparent	grandparent		
TRUE	adjective	ʙø.jə̃ː	vojýy	medium-sharpness, average sharp/rounded	sharp, rounded		
TRUE	noun (inanimate)	ʙøl	vol	branch, (tree) limb; subassembly, module, part of a device (especially a spacecraft) with detachable joints	subassembly, module		
TRUE	noun (inanimate)	ʙø.li na.dɾa.lə̃ɾ	voli nadralýr	the Control Module	module		
TRUE	noun (inanimate)	ʙø.li ɾə̃.cy.lə̃ɾ ʎa.wa.ʙyː.mã	voli rýculýr llawavuumá	the Probe Tracking Module	module		
TRUE	noun (inanimate)	ʙø.li tsøː.lə̃ɾ	voli tsoolýr	the Launch Module	module		
TRUE	conjunction (clause)	ʙø.lø̃ɬ	volóhl	until, lasting up to when	until		
TRUE	noun (inanimate)	ʙø.lə.wə	volywy	antler hooks, antler holder, headrest, item of furniture that supports the head by the antlers (used for deep work and sleeping)	antler, holder, headrest		
TRUE	verb (transitive)	ʙø.ɲy	vonnu	use logic on, infer about, reason about	logic, infer, reason		
TRUE	noun (animate)	ʙøː.deɸ	voodef	passenger, rider, someone transported by a vehicle	passenger, rider		
TRUE	verb (transitive)	ʙø̃ːɾ	vóor	surprise, do something unexpected to	surprise, unexpected	social	
TRUE	verb (intransitive)	ʙy	vu	be understimulated, be bored, lack things to think about	understimulated, bored	sensations	
TRUE	noun (inanimate)	ʙyl	vul	name (chiefly that of a person or place); title, heading	name, title, heading		
TRUE	noun (inanimate)	ʙyː	vuu	forehead and nose bridge, area formed by raised bony plate at the front of the skull	forehead, nose, skull		
TRUE	noun (inanimate)	ʙyː.jøː	vuujoo	visor, goggles, glasses, any equipment worn over the eyes	visor, goggles, glasses, eyewear		
TRUE	pronoun	ʙə.bəl	vybyl	they, the others, three or more things contrasted with the one(s) in focus, 3P.OBV.INAN, third-person obviative inanimate plural	they		
TRUE	noun (inanimate)	ʙə̃.heː.de	výheede	any of a family of plants with cone-shaped flowers; (name) Bells	bells	names, plants	
TRUE	pronoun	ʙəl	vyl	it, the other one, inanimate thing contrasted with the one(s) in focus, 3S.OBV.INAN, third-person obviative inanimate singular pronoun	it		
TRUE	noun (inanimate)	ʙə̃ʎ	výll	plan, intention, schedule, roadmap, routine	plan, intention, schedule, roadmap, routine		
TRUE	noun (animate)	ʙə.ʎø̃	vylló	a kind of pack predator analogous to wolf, extinct in the wild; monster, terror, bogeyman	predator, wolf, monster, terror, bogeyman	animals	
TRUE	verb (transitive)	ʙə.ɲy	vynnu	carry, lug, transport along, have in one's hands or on one's shoulders	carry, lug, transport		
TRUE	noun (inanimate)	ʙə.ɲə.sy.ci	Vynnysuci	(place name) Ash Twin (compound of vynnu 'carry' + ysuci 'pillar, column')	Ash Twin	placenames	
TRUE	verb (transitive)	ʙə̃.ɾẽ	výré	play with, fidget with, interact idly or impulsively	play, fidget		
TRUE	noun (inanimate)	ʙə̃ɾ.pə	výrpy	backpack, stretcher, handcart (long distance carrying device)	backpack, stretcher, handcart		
TRUE	numeral	ʙəs	vys	zero, nil	zero, nil		
TRUE	adjective	ʙə̃.seɾ	výser	old, aged, born or created long ago	old, aged		
TRUE	noun (inanimate)	ʙəs.mə̃j	vysmýi	theory, cohesive framework of powerful explanations	theory, framework, explanation		
TRUE	numeral	ʙəː	vyy	zero (connective form)	zero		
TRUE	interjection	ʙə̃ː	výy	yes, that's true (someone asked a closed question in the positive and I affirm the statement)	yes, true		
TRUE	noun (inanimate)	ʙəːɸ	vyyf	box, crate, chest, blocky container	box, crate, chest, container		
TRUE	verb (transitive)	ʙə̃ː.haː	výyhaa	follow, trail, move towards signs of	follow, trail, move towards		
TRUE	noun (inanimate)	ʙəː.liː	vyylii	lid, plug, cork, cap, low tech device to block a container or passage	lid, plug, cork, cap		
TRUE	noun (inanimate)	ʙəːʎ	vyyll	side antler, lower antler	antler, side antler, lower antler	body	
TRUE	verb (intransitive)	ʙəː.ɕ	vyyx	leak, bleed, lose matter; be unfortunate, be tragic, harm someone by random chance	leak, unfortunate, tragic		
TRUE	noun (inanimate)	ʙə̃ːɕ	výyx	airborne or exposed root or tendril	root, tendril, airborne root		
TRUE	particle	wa	wa	(person or creature) such that (marks the start of a relative clause where the head is animate)	that, such that, who, which, untranslatable		
